countrycode,year,country,year,index25a,index5a,index75a,index10a,index125a,index15a,alternate,efw_index_1,efw_index_1_int,democ,polity2,durable,christian_int,gdppc,netoda_gdp_cons,resource_rent,gdpg,legor_uk,legor_fr,legor_ge,legor_sc,legor_so,warDummy,gini_disp,coup,countrycode,lngdp,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,min_legor_uk,l_index25a,l5_index25a,l_index5a,l5_index5a,l_index75a,l5_index75a,l_index10a,l5_index10a,l_index125a,l5_index125a,l_index15a,l5_index15a,l_netoda_gdp_cons,l5_netoda_gdp_cons,l_resource_rent,l5_resource_rent,l_gdpg,l5_gdpg,l_lngdp,l5_lngdp,l_alternate,l5_alternate,l_christian_int,l5_christian_int,l_warDummy,l5_warDummy,l_legor_fr,l5_legor_fr,l_coup,l5_coup,l_gini_disp,l5_gini_disp,l_min_legor_uk,l5_min_legor_uk,sample_full,sample_full5
Albania,1990.0,Albania,1990.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5.1710024,5.171002388000488,3.0,1.0,0.0,0.0,1606.296,0.30838245,8.22403,-9.57564,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,Albania,7.381686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.30848524,0.0,8.847487,8.712814,9.836549,1.7806439,7.500334,7.45893,-9.0,-9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1,0
Albania,1991.0,Albania,1991.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,5.244873905181862,3.0,1.0,0.0,0.0,1163.4913,12.015634,9.885754,-28.002142,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,Albania,7.0591807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.30838245,0.0,8.22403,4.697097,-9.57564,5.6372433,7.381686,7.494438,-9.0,-9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1,0
Albania,1992.0,Albania,1992.0,-8.511084,-8.171613,-7.7626877,-7.300461,-6.7942944,-6.250218,-8.75862,,5.318745422363264,6.0,5.0,0.0,0.0,1086.4385,15.933007,11.728839,-7.187111,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,Albania,6.99066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,12.015634,0.0,9.885754,5.6994877,-28.002142,-0.78784263,7.0591807,7.4665585,-9.0,-9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1,0
Albania,1993.0,Albania,1993.0,-8.043878,-7.3993235,-6.64962,-5.838517,-4.994677,-4.1385384,-8.525424,,5.392616939544666,6.0,5.0,1.0,0.0,1197.5806,10.479604,3.378502,9.559412,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,Albania,7.0880585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.511084,-9.0,-8.171613,-9.0,-7.7626877,-9.0,-7.300461,-9.0,-6.7942944,-9.0,-6.250218,-9.0,15.933007,0.17722233,11.728839,8.223123,-7.187111,-1.4200397,6.99066,7.433389,-8.75862,-9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1,0
Albania,1994.0,Albania,1994.0,-7.5971074,-6.678539,-5.6458845,-4.5741663,-3.5105886,-2.4855435,-8.3,,5.4664884567260685,6.0,5.0,2.0,0.0,1305.0007,5.396054,1.8386132,8.302867,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,Albania,7.173959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.043878,-9.0,-7.3993235,-9.0,-6.64962,-9.0,-5.838517,-9.0,-4.994677,-9.0,-4.1385384,-9.0,10.479604,0.30848524,3.378502,8.847487,9.559412,9.836549,7.0880585,7.500334,-8.525424,-9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1,0
Albania,1995.0,Albania,1995.0,-7.1695943,-6.005129,-4.738755,-3.4756014,-2.2758703,-1.1721066,-8.081967,5.54036,5.540359973907471,6.0,5.0,3.0,0.0,1488.0205,4.805325,1.4119946,13.322333,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,Albania,7.305202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5971074,-9.0,-6.678539,-9.0,-5.6458845,-9.0,-4.5741663,-9.0,-3.5105886,-9.0,-2.4855435,-9.0,5.396054,0.30838245,1.8386132,8.22403,8.302867,-9.57564,7.173959,7.381686,-8.3,-9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1,0
Albania,1996.0,Albania,1996.0,-7.1695943,-6.005129,-4.738755,-3.4756014,-2.2758703,-1.1721066,-8.081967,,5.697790908813431,3.0,0.0,0.0,0.0,1633.5515,5.708825,1.3615295,9.099999,0.0,1.0,0.0,0.0,0.0,0.0,36.6,0.0,Albania,7.398512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.1695943,-9.0,-6.005129,-9.0,-4.738755,-9.0,-3.4756014,-9.0,-2.2758703,-9.0,-1.1721066,-9.0,4.805325,12.015634,1.4119946,9.885754,13.322333,-28.002142,7.305202,7.0591807,-8.081967,-9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1,0
Albania,1997.0,Albania,1997.0,-6.7501144,-5.34422,-3.8567367,-2.4239438,-1.1167849,0.03393094,-7.870968,,5.855221843719448,6.0,5.0,0.0,0.0,1464.2976,5.040325,1.3161609,-10.919984,0.0,1.0,0.0,0.0,0.0,0.0,36.7,0.0,Albania,7.289131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.1695943,-8.511084,-6.005129,-8.171613,-4.738755,-7.7626877,-3.4756014,-7.300461,-2.2758703,-6.7942944,-1.1721066,-6.250218,5.708825,15.933007,1.3615295,11.728839,9.099999,-7.187111,7.398512,6.99066,-8.081967,-8.75862,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.6,,0.0,0.0,1,0
Albania,1998.0,Albania,1998.0,-6.348893,-4.7291865,-3.0668967,-1.524437,-0.17466784,0.9621642,-7.6666665,,6.0126527786254655,6.0,5.0,1.0,0.0,1603.6472,7.5556226,0.37302083,8.829424,0.0,1.0,0.0,0.0,0.0,0.0,36.9,0.0,Albania,7.380036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7501144,-8.043878,-5.34422,-7.3993235,-3.8567367,-6.64962,-2.4239438,-5.838517,-1.1167849,-4.994677,0.03393094,-4.1385384,5.040325,10.479604,1.3161609,3.378502,-10.919984,9.559412,7.289131,7.0880585,-7.870968,-8.525424,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.7,,0.0,0.0,1,0
Albania,1999.0,Albania,1999.0,-5.9648843,-4.1561394,-2.3575525,-0.75030005,0.59986466,1.6900275,-7.46875,,6.170083713531483,6.0,5.0,2.0,0.0,1821.8727,12.381092,0.58281994,12.890803,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,Albania,7.5076203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.348893,-7.5971074,-4.7291865,-6.678539,-3.0668967,-5.6458845,-1.524437,-4.5741663,-0.17466784,-3.5105886,0.9621642,-2.4855435,7.5556226,5.396054,0.37302083,1.8386132,8.829424,8.302867,7.380036,7.173959,-7.6666665,-8.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.9,,0.0,0.0,1,0
